官方基因/靶点ID,靶点名称,别名,物种,本地PDB,本地文件,建议动作,下载动作,说明
ACVR2B,ActRIIB,"ACVR2B, ACTRIIB, Activin receptor type-2B",Homo sapiens,5NHR,METABOLIB-HUMAN-ACTRIIB-FV-RCSB-5NHR.pdb,PROMOTE_ROUTE,SKIP_DOWNLOAD,结构已在 libraryAssets 中，但未进入正式 prompt/route 清单。
CEACAM6,CEACAM6,,Homo sapiens,4WHC,SOLIDLIB-HUMAN-CEACAM6-RCSB-4WHC.pdb,PROMOTE_ROUTE,SKIP_DOWNLOAD,结构已在 libraryAssets 中，但未进入正式 prompt/route 清单。
DKK1,DKK1,Dickkopf-related protein 1,Homo sapiens,5GJE,BONELIB-HUMAN-DKK1-RCSB-5GJE.pdb,PROMOTE_ROUTE,SKIP_DOWNLOAD,结构已在 libraryAssets 中，但未进入正式 prompt/route 清单。
EPCAM,EpCAM,"EPCAM, TACSTD1",Homo sapiens,6I07,SOLIDLIB-HUMAN-EPCAM-SCFV-RCSB-6I07.pdb,PROMOTE_ROUTE,SKIP_DOWNLOAD,结构已在 libraryAssets 中，但未进入正式 prompt/route 清单。
GBA1,GBA,"GBA1, Glucocerebrosidase, Acid beta-glucosidase",Homo sapiens,1OGS,NEUROLIB-HUMAN-GBA-RCSB-1OGS.pdb,PROMOTE_ROUTE,SKIP_DOWNLOAD,结构已在 libraryAssets 中，但未进入正式 prompt/route 清单。
GPC3,GPC3,Glypican-3,Homo sapiens,9NTQ;9NTT,SOLIDLIB-HUMAN-GPC3-RCSB-9NTQ.pdb;SOLIDLIB-HUMAN-GPC3-RCSB-9NTT.pdb,PROMOTE_ROUTE,SKIP_DOWNLOAD,结构已在 libraryAssets 中，但未进入正式 prompt/route 清单。
IGF1R,IGF1R,"Insulin-like growth factor 1 receptor, IGF-1 receptor",Homo sapiens,7XGD;5U8R,ENDOCRINELIB-HUMAN-IGF1R-RCSB-7XGD.pdb;ENDOCRINELIB-HUMAN-IGF1R-FV-RCSB-5U8R.pdb,PROMOTE_ROUTE,SKIP_DOWNLOAD,结构已在 libraryAssets 中，但未进入正式 prompt/route 清单。
LRRK2,LRRK2,Leucine-rich repeat serine/threonine-protein kinase 2,Homo sapiens,7LHT,NEUROLIB-HUMAN-LRRK2-RCSB-7LHT.pdb,PROMOTE_ROUTE,SKIP_DOWNLOAD,结构已在 libraryAssets 中，但未进入正式 prompt/route 清单。
SOST,SOST,Sclerostin,Homo sapiens,2K8P;6L6R,BONELIB-HUMAN-SOST-RCSB-2K8P.pdb;BONELIB-HUMAN-SOST-LRP6-RCSB-6L6R.pdb,PROMOTE_ROUTE,SKIP_DOWNLOAD,结构已在 libraryAssets 中，但未进入正式 prompt/route 清单。
TNFSF11,RANKL,"TNFSF11, TRANCE, Receptor activator of nuclear factor kappa-B ligand",Homo sapiens,3URF,BONELIB-HUMAN-RANKL-RCSB-3URF.pdb,PROMOTE_ROUTE,SKIP_DOWNLOAD,结构已在 libraryAssets 中，但未进入正式 prompt/route 清单。
VTCN1,B7-H4,VTCN1,Homo sapiens,4GOS,SOLIDLIB-HUMAN-B7H4-RCSB-4GOS.pdb,PROMOTE_ROUTE,SKIP_DOWNLOAD,结构已在 libraryAssets 中，但未进入正式 prompt/route 清单。
