优先级,疾病类别,疾病/适应症,靶点名称,靶点ID/基因,Open Targets/Ensembl ID,UniProt,物种,本地状态,建议动作,代表PDB,备选PDB,结构范围/形态,推荐mmCIF下载链接,兼容PDB下载链接,RCSB页面,AlphaFold API,说明/风险
P0,神经退行性,亨廷顿病 (Huntington disease),Huntingtin,HTT,ENSG00000197386,P42858,Homo sapiens,缺失,DOWNLOAD,6EZ8,,近全长 HTT–HAP40 复合物,https://files.rcsb.org/download/6EZ8.cif.gz,https://files.rcsb.org/download/6EZ8.pdb.gz,https://www.rcsb.org/structure/6EZ8,https://alphafold.ebi.ac.uk/api/prediction/P42858,优先用于全蛋白构象；大型蛋白，建模前应按链/残基范围提取抗原。
P0,神经系统,肌萎缩侧索硬化症 (ALS),Superoxide dismutase 1,SOD1,ENSG00000142168,P00441,Homo sapiens,缺失,DOWNLOAD,2C9V,1HL5,野生型全长同源二聚体,https://files.rcsb.org/download/2C9V.cif.gz,https://files.rcsb.org/download/2C9V.pdb.gz,https://www.rcsb.org/structure/2C9V,https://alphafold.ebi.ac.uk/api/prediction/P00441,2C9V 为高分辨率 Cu-Zn 野生型结构。
P0,神经系统,ALS / 额颞叶痴呆 (FTD),C9orf72,C9ORF72,ENSG00000147894,Q96LT7,Homo sapiens,缺失,DOWNLOAD,6LT0,,C9orf72–SMCR8–WDR41 复合物,https://files.rcsb.org/download/6LT0.cif.gz,https://files.rcsb.org/download/6LT0.pdb.gz,https://www.rcsb.org/structure/6LT0,https://alphafold.ebi.ac.uk/api/prediction/Q96LT7,复合物结构，适合保留生理伴侣后再提取 C9orf72 链。
P0,神经系统,ALS / FTD,TDP-43,TARDBP,ENSG00000120948,Q13148,Homo sapiens,缺失,DOWNLOAD,4BS2,,RNA-recognition motif/domain,https://files.rcsb.org/download/4BS2.cif.gz,https://files.rcsb.org/download/4BS2.pdb.gz,https://www.rcsb.org/structure/4BS2,https://alphafold.ebi.ac.uk/api/prediction/Q13148,仅为结构域，不可标为完整 TDP-43 抗原。
P0,神经损伤,脊髓损伤 / 轴突再生抑制,Nogo-66,RTN4,ENSG00000115310,Q9NQC3,Homo sapiens,缺失,DOWNLOAD,2KO2,2G31;2JV5,Nogo-66胞外域，DPC膜模拟环境中的NMR结构,https://files.rcsb.org/download/2KO2.cif.gz,https://files.rcsb.org/download/2KO2.pdb.gz,https://www.rcsb.org/structure/2KO2,https://alphafold.ebi.ac.uk/api/prediction/Q9NQC3,已纠错：1P8T/1OZN均为RTN4R受体，不是RTN4配体；2KO2为Nogo-66在膜模拟环境中的实验结构。
P0,神经损伤,脊髓损伤 / 轴突再生抑制,Nogo receptor 1,RTN4R,ENSG00000040608,Q9BZR6,Homo sapiens,缺失,DOWNLOAD,1OZN,,胞外 LRR 配体结合结构域,https://files.rcsb.org/download/1OZN.cif.gz,https://files.rcsb.org/download/1OZN.pdb.gz,https://www.rcsb.org/structure/1OZN,https://alphafold.ebi.ac.uk/api/prediction/Q9BZR6,用于抗体/配体设计时应保留胞外域。
P0,神经损伤,脊髓损伤 / Rho 通路,RhoA,RHOA,ENSG00000067560,P61586,Homo sapiens,缺失,DOWNLOAD,6BC0,6BBX;8K3U,全长小 GTPase,https://files.rcsb.org/download/6BC0.cif.gz,https://files.rcsb.org/download/6BC0.pdb.gz,https://www.rcsb.org/structure/6BC0,https://alphafold.ebi.ac.uk/api/prediction/P61586,“Cethrin”是候选治疗蛋白/药物，不是靶点；实际通路靶点应记录 RHOA。
P0,感染性疾病,破伤风,Tetanus neurotoxin Hc fragment,TeNT / tetX,,P04958,Clostridium tetani,缺失,DOWNLOAD,1A8D,7BY5,受体结合 C 端抗原片段,https://files.rcsb.org/download/1A8D.cif.gz,https://files.rcsb.org/download/1A8D.pdb.gz,https://www.rcsb.org/structure/1A8D,https://alphafold.ebi.ac.uk/api/prediction/P04958,1A8D 是高分辨率 Hc 抗原；如需全长失活毒素可同时保存 7BY5。
P0,感染性疾病,疟疾,Histidine-rich protein 2,PfHRP2 / PF3D7_0831800,,,Plasmodium falciparum,缺失,NO_EXPERIMENTAL_PDB,,,重复富组氨酸、无可靠实验结构,,,,,不建议伪造 PDB；改为序列/线性表位资产，AlphaFold 结果也需低置信度标记。
P0,感染性疾病,疟疾 / 疫苗抗原,Circumsporozoite protein,CSP / PF3D7_0304600,,Q7K740,Plasmodium falciparum 3D7,缺失,DOWNLOAD,7V05,,近全长 CSP–Fab 复合物,https://files.rcsb.org/download/7V05.cif.gz,https://files.rcsb.org/download/7V05.pdb.gz,https://www.rcsb.org/structure/7V05,https://alphafold.ebi.ac.uk/api/prediction/Q7K740,含多拷贝 Fab；下载后应提取 CSP 链 Q。
P0,感染性疾病,疟疾 / 血期疫苗抗原,Merozoite surface protein 1,MSP1 / PF3D7_0930300,,Q8I0U8,Plasmodium falciparum 3D7,缺失,DOWNLOAD,6ZBF,1B9W;8DFG,近全长 MSP1 cryo-EM,https://files.rcsb.org/download/6ZBF.cif.gz,https://files.rcsb.org/download/6ZBF.pdb.gz,https://www.rcsb.org/structure/6ZBF,https://alphafold.ebi.ac.uk/api/prediction/Q8I0U8,6ZBF 为近全长构象；1B9W/8DFG 可作为抗体表位结构补充。
P0,感染性疾病,疟疾 / 侵袭抗原,Apical membrane antigen 1,AMA1 / PF3D7_1133400,,Q7KQK5,Plasmodium falciparum 3D7,缺失,DOWNLOAD,1Z40,,AMA1 domains I–II,https://files.rcsb.org/download/1Z40.cif.gz,https://files.rcsb.org/download/1Z40.pdb.gz,https://www.rcsb.org/structure/1Z40,https://alphafold.ebi.ac.uk/api/prediction/Q7KQK5,高分辨率功能片段，非完整前体。
P0,感染性疾病,疟疾 / 红细胞侵袭,Reticulocyte-binding protein homologue 5,RH5 / PF3D7_0424100,,Q8IFM5,Plasmodium falciparum 3D7,缺失,DOWNLOAD,4WAT,4U0Q,可溶性 RH5 抗原,https://files.rcsb.org/download/4WAT.cif.gz,https://files.rcsb.org/download/4WAT.pdb.gz,https://www.rcsb.org/structure/4WAT,https://alphafold.ebi.ac.uk/api/prediction/Q8IFM5,4WAT 为 2.18 Å RH5；4U0Q 含 Basigin/阻断抗体复合物。
P0,感染性疾病/肿瘤,HPV16 感染 / 宫颈癌预防,Major capsid protein L1,HPV16 L1,,A0A1U9YFU1,Human papillomavirus 16,缺失,DOWNLOAD,2R5H,,L1 五聚体抗原,https://files.rcsb.org/download/2R5H.cif.gz,https://files.rcsb.org/download/2R5H.pdb.gz,https://www.rcsb.org/structure/2R5H,https://alphafold.ebi.ac.uk/api/prediction/A0A1U9YFU1,适用于中和抗体和 VLP 表面表位分析。
P0,感染性疾病/肿瘤,HPV16 相关癌症,Oncoprotein E6,HPV16 E6,,P03126,Human papillomavirus 16,缺失,DOWNLOAD,4GIZ,,近全长 E6–E6AP motif 复合物,https://files.rcsb.org/download/4GIZ.cif.gz,https://files.rcsb.org/download/4GIZ.pdb.gz,https://www.rcsb.org/structure/4GIZ,https://alphafold.ebi.ac.uk/api/prediction/P03126,结构含融合/伴侣组分和突变，提取 E6 链并保留注释。
P0,感染性疾病/肿瘤,HPV16 相关癌症,Oncoprotein E7,HPV16 E7,,P03129,Human papillomavirus 16,缺失,DOWNLOAD_EPITOPE_ONLY,6APN,6E1I;7SSH,E7 肽–HLA 复合物,https://files.rcsb.org/download/6APN.cif.gz,https://files.rcsb.org/download/6APN.pdb.gz,https://www.rcsb.org/structure/6APN,https://alphafold.ebi.ac.uk/api/prediction/P03129,没有可直接当作完整 HPV16 E7 抗原的实验结构；此项仅保存免疫表位构象。
P0,罕见病/代谢,Fabry disease,Alpha-galactosidase A,GLA,ENSG00000102393,P06280,Homo sapiens,缺失,DOWNLOAD,3S5Z,,全长成熟酶二聚体,https://files.rcsb.org/download/3S5Z.cif.gz,https://files.rcsb.org/download/3S5Z.pdb.gz,https://www.rcsb.org/structure/3S5Z,https://alphafold.ebi.ac.uk/api/prediction/P06280,人源 α-Gal A，适合酶替代/伴侣药与抗体检测相关建模。
P0,罕见病/代谢,Gaucher disease / Parkinson risk,Glucocerebrosidase,GBA1,ENSG00000177628,P04062,Homo sapiens,本地 asset_only,PROMOTE_ROUTE,1OGS,,全长成熟酶,https://files.rcsb.org/download/1OGS.cif.gz,https://files.rcsb.org/download/1OGS.pdb.gz,https://www.rcsb.org/structure/1OGS,https://alphafold.ebi.ac.uk/api/prediction/P04062,PDB 已在本地资产中；只需升级为正式路由，不要重复下载。
