candidate_rank,structure_source,structure_id,download_url,filename,priority,enabled_default,structure_scope,review_note,target_id,target_name,top_indications,requires_scope_review
1,RCSB,1Z40,https://files.rcsb.org/download/1Z40.cif.gz,AMA1_PF3D7_1133400-RCSB-1Z40.cif.gz,P0,YES,AMA1 domains I–II,高分辨率功能片段，非完整前体。,AMA1 / PF3D7_1133400,Apical membrane antigen 1,疟疾 / 侵袭抗原,YES
1,RCSB,6LT0,https://files.rcsb.org/download/6LT0.cif.gz,C9ORF72-RCSB-6LT0.cif.gz,P0,YES,C9orf72–SMCR8–WDR41 复合物,复合物结构，适合保留生理伴侣后再提取 C9orf72 链。,C9ORF72,C9orf72,ALS / 额颞叶痴呆 (FTD),YES
1,RCSB,7V05,https://files.rcsb.org/download/7V05.cif.gz,CSP_PF3D7_0304600-RCSB-7V05.cif.gz,P0,YES,近全长 CSP–Fab 复合物,含多拷贝 Fab；下载后应提取 CSP 链 Q。,CSP / PF3D7_0304600,Circumsporozoite protein,疟疾 / 疫苗抗原,YES
1,RCSB,3S5Z,https://files.rcsb.org/download/3S5Z.cif.gz,GLA-RCSB-3S5Z.cif.gz,P0,YES,全长成熟酶二聚体,人源 α-Gal A，适合酶替代/伴侣药与抗体检测相关建模。,GLA,Alpha-galactosidase A,Fabry disease,YES
1,RCSB,4GIZ,https://files.rcsb.org/download/4GIZ.cif.gz,HPV16_E6-RCSB-4GIZ.cif.gz,P0,YES,近全长 E6–E6AP motif 复合物,结构含融合/伴侣组分和突变，提取 E6 链并保留注释。,HPV16 E6,Oncoprotein E6,HPV16 相关癌症,YES
1,RCSB,6APN,https://files.rcsb.org/download/6APN.cif.gz,HPV16_E7-RCSB-6APN.cif.gz,P0,YES,E7 肽–HLA 复合物,没有可直接当作完整 HPV16 E7 抗原的实验结构；此项仅保存免疫表位构象。,HPV16 E7,Oncoprotein E7,HPV16 相关癌症,YES
1,RCSB,2R5H,https://files.rcsb.org/download/2R5H.cif.gz,HPV16_L1-RCSB-2R5H.cif.gz,P0,YES,L1 五聚体抗原,适用于中和抗体和 VLP 表面表位分析。,HPV16 L1,Major capsid protein L1,HPV16 感染 / 宫颈癌预防,YES
1,RCSB,6EZ8,https://files.rcsb.org/download/6EZ8.cif.gz,HTT-RCSB-6EZ8.cif.gz,P0,YES,近全长 HTT–HAP40 复合物,优先用于全蛋白构象；大型蛋白，建模前应按链/残基范围提取抗原。,HTT,Huntingtin,亨廷顿病 (Huntington disease),YES
1,RCSB,5FQL,https://files.rcsb.org/download/5FQL.cif.gz,IDS-RCSB-5FQL.cif.gz,P0,YES,全长成熟酶,人源 IDS，2.30 Å。,IDS,Iduronate-2-sulfatase,Mucopolysaccharidosis II (Hunter),YES
1,RCSB,3W81,https://files.rcsb.org/download/3W81.cif.gz,IDUA-RCSB-3W81.cif.gz,P0,YES,全长成熟酶,人源 IDUA，保留糖基化信息。,IDUA,Alpha-L-iduronidase,Mucopolysaccharidosis I,YES
1,RCSB,6ZBF,https://files.rcsb.org/download/6ZBF.cif.gz,MSP1_PF3D7_0930300-RCSB-6ZBF.cif.gz,P0,YES,近全长 MSP1 cryo-EM,6ZBF 为近全长构象；1B9W/8DFG 可作为抗体表位结构补充。,MSP1 / PF3D7_0930300,Merozoite surface protein 1,疟疾 / 血期疫苗抗原,YES
1,RCSB,3JD8,https://files.rcsb.org/download/3JD8.cif.gz,NPC1-RCSB-3JD8.cif.gz,P0,YES,全长跨膜 NPC1 cryo-EM,3JD8 为全长但分辨率较低；5U73/5KWY 提供高分辨率腔内结构域。,NPC1,Niemann-Pick C1 protein,Niemann–Pick disease type C,YES
1,RCSB,5KWY,https://files.rcsb.org/download/5KWY.cif.gz,NPC2-RCSB-5KWY.cif.gz,P0,YES,NPC2–NPC1 MLD 复合物,5KWY 含完整人 NPC2；下载后可提取 NPC2 链 C/D。,NPC2,Niemann-Pick C2 protein,Niemann–Pick disease type C,YES
1,RCSB,4WAT,https://files.rcsb.org/download/4WAT.cif.gz,RH5_PF3D7_0424100-RCSB-4WAT.cif.gz,P0,YES,可溶性 RH5 抗原,4WAT 为 2.18 Å RH5；4U0Q 含 Basigin/阻断抗体复合物。,RH5 / PF3D7_0424100,Reticulocyte-binding protein homologue 5,疟疾 / 红细胞侵袭,YES
1,RCSB,6BC0,https://files.rcsb.org/download/6BC0.cif.gz,RHOA-RCSB-6BC0.cif.gz,P0,YES,全长小 GTPase,“Cethrin”是候选治疗蛋白/药物，不是靶点；实际通路靶点应记录 RHOA。,RHOA,RhoA,脊髓损伤 / Rho 通路,YES
1,RCSB,2KO2,https://files.rcsb.org/download/2KO2.cif.gz,RTN4-RCSB-2KO2.cif.gz,P0,YES,"Nogo-66 extracellular domain, NMR in DPC micelles",Corrected: 1P8T is RTN4R; 2KO2 is experimental Nogo-66/RTN4.,RTN4,Nogo-66,脊髓损伤 / 轴突再生抑制,YES
1,RCSB,1OZN,https://files.rcsb.org/download/1OZN.cif.gz,RTN4R-RCSB-1OZN.cif.gz,P0,YES,胞外 LRR 配体结合结构域,用于抗体/配体设计时应保留胞外域。,RTN4R,Nogo receptor 1,脊髓损伤 / 轴突再生抑制,YES
1,RCSB,4GLI,https://files.rcsb.org/download/4GLI.cif.gz,SMN1-RCSB-4GLI.cif.gz,P0,YES,YG-box 寡聚化结构域,4GLI 是融合构建体中的 SMN YG-box，并非完整 SMN。,SMN1 | SMN2,Survival motor neuron protein 1 | Survival motor neuron protein 2,Spinal muscular atrophy,YES
1,RCSB,2C9V,https://files.rcsb.org/download/2C9V.cif.gz,SOD1-RCSB-2C9V.cif.gz,P0,YES,野生型全长同源二聚体,2C9V 为高分辨率 Cu-Zn 野生型结构。,SOD1,Superoxide dismutase 1,肌萎缩侧索硬化症 (ALS),YES
1,RCSB,4BS2,https://files.rcsb.org/download/4BS2.cif.gz,TARDBP-RCSB-4BS2.cif.gz,P0,YES,RNA-recognition motif/domain,仅为结构域，不可标为完整 TDP-43 抗原。,TARDBP,TDP-43,ALS / FTD,YES
1,RCSB,1A8D,https://files.rcsb.org/download/1A8D.cif.gz,TeNT_tetX-RCSB-1A8D.cif.gz,P0,YES,受体结合 C 端抗原片段,1A8D 是高分辨率 Hc 抗原；如需全长失活毒素可同时保存 7BY5。,TeNT / tetX,Tetanus neurotoxin Hc fragment,破伤风,YES
1,RCSB,1XOX,https://files.rcsb.org/download/1XOX.cif.gz,BIRC5-RCSB-1XOX.cif.gz,P2,NO,Survivin 1–120 NMR 二聚体,BIRC5 不能替代 SMN1/SMN2；仅作为探索性修饰因子。,BIRC5,Survivin,SMA（探索性修饰因子，不是核心致病靶点）,YES
