target,gene,aliases,organism,pdb_id,filename,route_status,suggested_action
IL-6,IL6,"IL6, Interleukin-6",Homo sapiens,1ALU,INFLAMLIB-HUMAN-IL6-RCSB-1ALU.pdb,ALREADY_ROUTED_ALIAS,保留本地结构；无需下载
IL-6,IL6,"IL6, Interleukin-6",Homo sapiens,4ZS7,INFLAMLIB-HUMAN-IL6-FAB-RCSB-4ZS7.pdb,ALREADY_ROUTED_ALIAS,保留本地结构；无需下载
IGF1R,IGF1R,"Insulin-like growth factor 1 receptor, IGF-1 receptor",Homo sapiens,7XGD,ENDOCRINELIB-HUMAN-IGF1R-RCSB-7XGD.pdb,PROMOTE_ROUTE,把现有 asset_only 资产加入正式路由；无需下载
IGF1R,IGF1R,"Insulin-like growth factor 1 receptor, IGF-1 receptor",Homo sapiens,5U8R,ENDOCRINELIB-HUMAN-IGF1R-FV-RCSB-5U8R.pdb,PROMOTE_ROUTE,把现有 asset_only 资产加入正式路由；无需下载
GLP1R,GLP1R,"GLP-1R, Glucagon-like peptide 1 receptor",Homo sapiens,6LN2,ENDOCRINELIB-HUMAN-GLP1R-RCSB-6LN2.pdb,ALREADY_ROUTED_ALIAS,保留本地结构；无需下载
Myostatin,GDF8,"GDF8, Growth/differentiation factor 8",Homo sapiens,5F3H,METABOLIB-HUMAN-MSTN-FAB-RCSB-5F3H.pdb,ALREADY_ROUTED_ALIAS,保留本地结构；无需下载
ActRIIB,ACVR2B,"ACVR2B, ACTRIIB, Activin receptor type-2B",Homo sapiens,5NHR,METABOLIB-HUMAN-ACTRIIB-FV-RCSB-5NHR.pdb,PROMOTE_ROUTE,把现有 asset_only 资产加入正式路由；无需下载
TrkB,NTRK2,"NTRK2, Tropomyosin receptor kinase B, Neurotrophic tyrosine kinase receptor type 2",Homo sapiens,5MO9,NEUROLIB-HUMAN-TRKB-FAB-RCSB-5MO9.pdb,ALREADY_ROUTED_ALIAS,保留本地结构；无需下载
DRD4,DRD4,"D4 dopamine receptor, D(4) dopamine receptor, Dopamine receptor D4",Homo sapiens,5WIU,NEUROLIB-HUMAN-DRD4-RCSB-5WIU.pdb,ALREADY_ROUTED_ALIAS,保留本地结构；无需下载
TrkA,NTRK1,NTRK1,Homo sapiens,1HE7,NEUROLIB-HUMAN-TRKA-RCSB-1HE7.pdb,ALREADY_ROUTED_ALIAS,保留本地结构；无需下载
TrkA,NTRK1,NTRK1,Homo sapiens,2IFG,NEUROLIB-HUMAN-TRKA-NGF-RCSB-2IFG.pdb,ALREADY_ROUTED_ALIAS,保留本地结构；无需下载
LRRK2,LRRK2,Leucine-rich repeat serine/threonine-protein kinase 2,Homo sapiens,7LHT,NEUROLIB-HUMAN-LRRK2-RCSB-7LHT.pdb,PROMOTE_ROUTE,把现有 asset_only 资产加入正式路由；无需下载
