疾病/适应症,报告原始靶点,规范化靶点ID,处理意见,关键纠错
亨廷顿病,HTT,HTT / ENSG00000197386 / P42858,新增实验结构 6EZ8,无
肌萎缩侧索硬化症 (ALS),SOD1、C9orf72、TDP-43,SOD1 / C9ORF72 / TARDBP,新增 2C9V、6LT0、4BS2,TDP-43 的官方基因符号为 TARDBP
脊髓损伤,Nogo-66、NgR、Cethrin,RTN4 / RTN4R / RHOA,新增 2KO2、1OZN、6BC0,“Cethrin”是候选治疗蛋白/药物，不是靶点；应映射 RHOA。RTN4 的 Nogo-66 结构使用 2KO2；1P8T/1OZN 均属于 RTN4R 受体。
破伤风,Tetanus toxin,TeNT/tetX / UniProt P04958,优先 1A8D Hc 抗原片段；可选 7BY5 全长失活毒素,按抗原片段和全长构建体分开标注
疟疾,PfHRP2、CSP、MSP1、AMA1、RH5,PF3D7_0831800 / PF3D7_0304600 / PF3D7_0930300 / PF3D7_1133400 / PF3D7_0424100,新增 7V05、6ZBF、1Z40、4WAT；PfHRP2 保存序列/表位,PfHRP2 不应伪造实验 PDB
HPV16 感染及相关癌症,L1、E6、E7,HPV16 L1 / E6 / E7,新增 2R5H、4GIZ；E7 仅保存 6APN 等表位复合物,2B9D 是 HPV1a E7，不应当作 HPV16 E7；6APN 为 HPV16 E7 肽-HLA
Fabry disease,alpha-Gal A,GLA / ENSG00000102393 / P06280,新增 3S5Z,无
Gaucher disease,GBA/GCase,GBA1 / ENSG00000177628 / P04062,本地已有 1OGS；提升路由，不重复下载,官方基因符号为 GBA1
黏多糖贮积症,IDS、IDUA,IDS / IDUA,新增 5FQL、3W81,按 MPS II 与 MPS I 分开记录
脊髓性肌萎缩症 (SMA),SMN1/2、Survivin,SMN1 / SMN2；BIRC5 仅探索,新增 4GLI（SMN YG-box）；BIRC5 的 1XOX 降为 P2,BIRC5/Survivin 不是 SMA 核心致病靶点，不能与 SMN1/2 同级
Niemann–Pick disease type C,NPC1/2,NPC1 / NPC2,新增 3JD8、5KWY,NPC1 全长与高分辨率腔内域应同时保留并区分
